SORTEO,FECHA,N1,N2,N3,N4,N5,N6,A
2910,2015/10/25,4,7,21,25,48,49,1
2909,2015/10/21,3,4,7,30,45,52,6
2908,2015/10/18,5,13,23,33,44,56,53
2907,2015/10/14,1,15,17,25,37,45,9
2906,2015/10/11,5,15,28,37,46,49,8
2905,2015/10/07,4,27,41,45,48,54,51
2904,2015/10/04,3,15,20,36,40,56,35
2903,2015/09/30,7,20,23,24,27,42,16
2902,2015/09/27,5,16,25,27,35,45,42
2901,2015/09/23,2,8,9,25,46,52,53
2900,2015/09/20,2,13,18,20,21,52,46
2899,2015/09/16,13,18,30,33,36,51,37
2898,2015/09/13,10,18,25,33,38,49,1
2897,2015/09/09,4,8,24,25,26,37,27
2896,2015/09/06,9,10,15,41,46,49,43
2895,2015/09/02,16,19,30,38,40,49,6
2894,2015/08/30,12,13,16,26,30,49,45
2893,2015/08/26,2,22,28,32,33,51,9
2892,2015/08/23,1,3,5,24,42,46,26
2891,2015/08/19,15,22,27,28,30,31,50
2890,2015/08/16,8,16,17,26,31,37,12
2889,2015/08/12,3,16,20,28,40,55,54
2888,2015/08/09,13,14,23,35,37,40,28
2887,2015/08/05,23,25,29,33,46,49,40
2886,2015/08/02,5,13,19,29,30,56,21
2885,2015/07/29,1,11,20,27,39,41,45
2884,2015/07/26,2,16,30,35,51,53,17
2883,2015/07/22,11,12,17,32,36,54,51
2882,2015/07/19,1,15,26,30,49,52,10
2881,2015/07/15,19,22,41,48,51,55,39
2880,2015/07/12,12,16,30,32,37,49,5
2879,2015/07/08,6,9,27,32,37,44,17
2878,2015/07/05,1,5,10,17,34,40,9
2877,2015/07/01,1,17,20,29,35,51,49
2876,2015/06/28,3,16,28,30,40,54,32
2875,2015/06/24,2,4,16,38,50,52,54
2874,2015/06/21,3,6,23,25,34,35,15
2873,2015/06/17,1,4,11,17,44,52,42
2872,2015/06/14,4,10,12,22,32,51,29
2871,2015/06/10,16,24,32,36,51,52,19
2870,2015/06/07,14,33,42,45,51,55,50
2869,2015/06/03,2,20,31,35,48,53,18
2868,2015/05/31,1,10,11,33,37,47,16
2867,2015/05/27,3,26,27,38,44,56,50
2866,2015/05/24,7,8,23,34,47,52,37
2865,2015/05/20,3,4,17,19,21,49,1
2864,2015/05/17,7,23,25,29,33,50,28
2863,2015/05/13,21,25,27,36,47,54,34
2862,2015/05/10,11,12,18,40,53,56,43
2861,2015/05/06,5,7,29,36,38,41,46
2860,2015/05/03,9,14,22,35,37,47,46
2859,2015/04/29,24,29,42,44,52,53,10
2858,2015/04/26,10,28,33,37,46,52,23
2857,2015/04/22,2,11,16,24,31,37,21
2856,2015/04/19,6,15,20,24,37,51,16
2855,2015/04/15,4,8,10,18,46,56,29
2854,2015/04/12,7,18,23,31,35,36,32
2853,2015/04/08,4,10,40,42,45,46,30
2852,2015/04/05,5,6,14,15,31,46,32
2851,2015/04/01,24,25,26,32,39,47,19
2850,2015/03/29,3,7,17,38,39,50,51
2849,2015/03/25,3,31,39,43,44,50,19
2848,2015/03/22,22,33,40,41,42,48,23
2847,2015/03/18,8,34,43,49,54,55,27
2846,2015/03/15,9,18,28,29,41,50,32
2845,2015/03/11,8,11,22,23,38,41,49
2844,2015/03/08,11,17,19,24,43,49,15
2843,2015/03/04,17,22,24,31,43,50,12
2842,2015/03/01,4,5,25,35,48,53,22
2841,2015/02/25,6,8,29,47,48,50,22
2840,2015/02/22,4,25,31,44,49,56,21
2839,2015/02/18,3,10,19,34,44,54,2
2838,2015/02/15,8,9,11,20,22,40,48
2837,2015/02/11,3,6,25,45,46,48,43
2836,2015/02/08,3,6,11,24,31,51,47
2835,2015/02/04,1,2,13,27,29,34,42
2834,2015/02/01,6,17,27,32,34,40,20
2833,2015/01/28,1,10,12,32,36,48,20
2832,2015/01/25,24,27,40,41,54,55,26
2831,2015/01/21,3,6,14,28,30,39,31
2830,2015/01/18,5,12,22,41,44,47,26
2829,2015/01/14,1,15,26,40,45,46,28
2828,2015/01/11,4,15,18,30,38,49,53
2827,2015/01/07,1,5,17,25,35,55,43
2826,2015/01/04,9,14,35,46,49,55,11
2825,2014/12/31,8,17,20,38,54,56,2
2824,2014/12/28,8,17,19,36,37,41,55
2823,2014/12/24,11,21,33,43,54,55,38
2822,2014/12/21,12,22,36,43,46,52,35
2821,2014/12/17,9,13,29,33,39,51,37
2820,2014/12/14,6,16,21,32,43,56,9
2819,2014/12/10,2,5,18,30,44,53,33
2818,2014/12/07,12,31,37,44,52,55,25
2817,2014/12/03,7,21,33,35,43,55,51
2816,2014/11/30,3,6,22,38,40,56,12
2815,2014/11/26,17,19,22,23,36,38,49
2814,2014/11/23,9,17,22,26,49,56,1
2813,2014/11/19,2,8,16,23,42,48,15
2812,2014/11/16,28,30,32,34,42,43,46
2811,2014/11/12,2,29,30,36,44,51,32
2810,2014/11/09,6,30,34,46,50,52,32
2809,2014/11/05,20,32,33,34,50,56,4
2808,2014/11/02,10,17,20,31,50,51,3
2807,2014/10/29,8,9,14,28,33,56,12
2806,2014/10/26,11,12,17,29,30,34,38
2805,2014/10/22,1,13,21,22,33,45,19
2804,2014/10/19,3,10,14,28,48,56,27
2803,2014/10/15,8,12,19,21,22,43,49
2802,2014/10/12,11,22,25,29,37,55,41
2801,2014/10/08,19,26,37,50,53,54,48
2800,2014/10/05,8,15,35,37,41,48,26
2799,2014/10/01,13,14,16,28,50,51,21
2798,2014/09/28,8,14,20,42,43,55,44
2797,2014/09/24,4,5,16,29,39,55,21
2796,2014/09/21,2,17,39,48,53,56,15
2795,2014/09/17,8,20,26,27,42,44,11
2794,2014/09/14,7,8,20,37,39,45,48
2793,2014/09/10,6,12,40,43,51,56,26
2792,2014/09/07,8,13,18,22,40,54,41
2791,2014/09/03,4,8,11,37,41,43,18
2790,2014/08/31,33,35,47,52,53,56,3
2789,2014/08/27,7,17,40,48,53,56,35
2788,2014/08/24,3,6,40,41,47,48,49
2787,2014/08/20,3,5,19,24,28,30,15
2786,2014/08/17,4,15,16,30,44,50,43
2785,2014/08/13,2,13,21,35,41,49,47
2784,2014/08/10,3,29,30,38,42,50,44
2783,2014/08/06,18,24,31,39,47,51,2
2782,2014/08/03,1,3,16,19,20,28,23
2781,2014/07/30,10,14,16,17,27,49,52
2780,2014/07/27,1,5,6,8,30,46,17
2779,2014/07/23,13,21,37,42,43,48,14
2778,2014/07/20,1,3,12,22,35,55,44
2777,2014/07/16,11,18,21,31,36,49,51
2776,2014/07/13,5,8,26,32,37,39,23
2775,2014/07/09,2,6,30,34,37,43,55
2774,2014/07/06,12,25,31,36,46,54,9
2773,2014/07/02,9,18,40,42,48,52,36
2772,2014/06/29,5,26,30,34,37,56,23
2771,2014/06/25,5,13,15,40,54,55,23
2770,2014/06/22,14,18,50,51,52,56,5
2769,2014/06/18,6,11,27,33,41,56,53
2768,2014/06/15,5,7,44,51,53,54,28
2767,2014/06/11,2,4,26,27,28,44,16
2766,2014/06/08,4,15,16,34,44,56,2
